D_          0 ,QI_          0 ,QF_          0 ,D_          1 ,QI_          1 ,QF_          1 ,D_          2 ,QI_          2 ,QF_          2 ,D_          3 ,QI_          3 ,QF_          3 ,D_          4 ,QI_          4 ,QF_          4 ,D_          5 ,QI_          5 ,QF_          5 ,D_          6 ,QI_          6 ,QF_          6 ,D_          7 ,QI_          7 ,QF_          7
2a3c , 1 ,15 ,c9aa , 1 ,15 ,f7d2 , 1 ,15 ,59ca , 2 ,14 ,efb6 , 1 ,15 ,a3e0 , 2 ,14 ,29a4 , 1 ,15 ,f020 , 1 ,15 
5d7b , 2 ,14 ,20cc , 1 ,15 ,bda4 , 1 ,15 ,d8ea , 1 ,15 ,57c0 , 1 ,15 ,4a62 , 1 ,15 ,4734 , 1 ,15 ,5528 , 2 ,14 
bfe4 , 2 ,14 ,46f6 , 1 ,15 ,b288 , 1 ,15 ,64eb , 2 ,14 ,143c , 1 ,15 ,84c4 , 1 ,15 ,42fc , 1 ,15 ,2cc6 , 1 ,15 
b800 , 2 ,14 ,dce8 , 1 ,15 ,131e , 1 ,15 ,4f3c , 1 ,15 ,b83c , 1 ,15 ,21b0 , 1 ,15 ,365a , 1 ,15 ,fa74 , 1 ,15 
a345 , 2 ,14 ,b440 , 2 ,14 ,88b2 , 1 ,15 ,de36 , 1 ,15 ,a5d3 , 2 ,14 ,333c , 1 ,15 ,09fa , 1 ,15 ,4d90 , 1 ,15 
aba0 , 1 ,15 ,c6b6 , 1 ,15 ,28e2 , 1 ,15 ,0e96 , 1 ,15 ,e9da , 1 ,15 ,7c94 , 1 ,15 ,5f21 , 2 ,14 ,de1c , 1 ,15 
56c4 , 1 ,15 ,dba4 , 1 ,15 ,de5a , 1 ,15 ,3eac , 1 ,15 ,8198 , 1 ,15 ,d1c6 , 1 ,15 ,f014 , 1 ,15 ,059c , 1 ,15 
1edc , 1 ,15 ,3bbc , 1 ,15 ,636a , 1 ,15 ,12a4 , 1 ,15 ,5588 , 1 ,15 ,4f05 , 2 ,14 ,c720 , 1 ,15 ,f1c8 , 1 ,15 
8ce8 , 1 ,15 ,362c , 1 ,15 ,ca98 , 1 ,15 ,585c , 2 ,14 ,4c8e , 2 ,14 ,4b20 , 1 ,15 ,2b8a , 1 ,15 ,610a , 1 ,15 
2caa , 1 ,15 ,f792 , 1 ,15 ,c7e8 , 1 ,15 ,534e , 1 ,15 ,f2e4 , 1 ,15 ,5faa , 2 ,14 ,b41d , 2 ,14 ,92b2 , 1 ,15 
cfb6 , 1 ,15 ,e92a , 1 ,15 ,1238 , 1 ,15 ,196e , 1 ,15 ,bf50 , 2 ,14 ,da64 , 1 ,15 ,869a , 1 ,15 ,eff6 , 1 ,15 
6f94 , 1 ,15 ,0996 , 1 ,15 ,fe6e , 1 ,15 ,437b , 2 ,14 ,1420 , 1 ,15 ,bf1e , 1 ,15 ,b27f , 2 ,14 ,4ae3 , 3 ,13 
17f8 , 1 ,15 ,dcee , 1 ,15 ,cefa , 1 ,15 ,30fe , 1 ,15 ,4b8a , 1 ,15 ,5d94 , 1 ,15 ,cf78 , 1 ,15 ,665b , 2 ,14 
9ce9 , 2 ,14 ,e5ba , 1 ,15 ,b2f0 , 3 ,13 ,92ef , 2 ,14 ,5c74 , 2 ,14 ,65f6 , 1 ,15 ,0546 , 1 ,15 ,56c6 , 1 ,15 
4dca , 3 ,13 ,da5e , 1 ,15 ,6dbd , 2 ,14 ,ebda , 1 ,15 ,da80 , 1 ,15 ,b052 , 1 ,15 ,4bd8 , 2 ,14 ,0b62 , 1 ,15 
5d74 , 1 ,15 ,acfd , 2 ,14 ,b247 , 2 ,14 ,e612 , 1 ,15 ,6be3 , 2 ,14 ,46dd , 2 ,14 ,2cc0 , 1 ,15 ,c9f2 , 1 ,15 
d2c8 , 1 ,15 ,cba0 , 1 ,15 ,5e7a , 1 ,15 ,8406 , 1 ,15 ,2bdc , 1 ,15 ,c4ea , 1 ,15 ,049e , 1 ,15 ,adb4 , 1 ,15 
48dd , 2 ,14 ,ea1a , 1 ,15 ,44ac , 1 ,15 ,7678 , 1 ,15 ,534c , 1 ,15 ,20c8 , 1 ,15 ,06d6 , 1 ,15 ,9b5f , 2 ,14 
e640 , 1 ,15 ,cc24 , 1 ,15 ,0aba , 1 ,15 ,9a57 , 2 ,14 ,9ae7 , 2 ,14 ,49ec , 2 ,14 ,3a62 , 1 ,15 ,b0e4 , 1 ,15 
b6ad , 2 ,14 ,8d5a , 1 ,15 ,df86 , 1 ,15 ,3262 , 1 ,15 ,0612 , 1 ,15 ,bdf9 , 3 ,13 ,88f6 , 1 ,15 ,acd5 , 2 ,14 
861a , 1 ,15 ,04de , 1 ,15 ,5be8 , 1 ,15 ,56a4 , 1 ,15 ,b844 , 2 ,14 ,3fe8 , 1 ,15 ,5e86 , 2 ,14 ,2096 , 1 ,15 
4b8e , 1 ,15 ,2918 , 1 ,15 ,bc86 , 1 ,15 ,2f44 , 1 ,15 ,af43 , 2 ,14 ,c5f8 , 1 ,15 ,59b8 , 1 ,15 ,bbdf , 2 ,14 
a2e8 , 1 ,15 ,f29e , 1 ,15 ,65be , 1 ,15 ,1c82 , 1 ,15 ,67ac , 1 ,15 ,a3b8 , 1 ,15 ,eabe , 1 ,15 ,205e , 1 ,15 
9a3a , 1 ,15 ,5059 , 2 ,14 ,c23e , 1 ,15 ,93db , 2 ,14 ,b888 , 1 ,15 ,7a87 , 2 ,14 ,6f16 , 1 ,15 ,de2c , 1 ,15 
def6 , 1 ,15 ,a14f , 2 ,14 ,8ece , 1 ,15 ,1e34 , 1 ,15 ,d270 , 1 ,15 ,1a1c , 1 ,15 ,edfc , 1 ,15 ,afbe , 1 ,15 
f656 , 1 ,15 ,d98e , 1 ,15 ,16f8 , 1 ,15 ,dc24 , 1 ,15 ,5f97 , 2 ,14 ,c0a0 , 1 ,15 ,0794 , 1 ,15 ,c674 , 1 ,15 
20e6 , 1 ,15 ,5097 , 2 ,14 ,60a5 , 2 ,14 ,8f52 , 2 ,14 ,acc8 , 1 ,15 ,b620 , 1 ,15 ,d4c8 , 1 ,15 ,14fa , 1 ,15 
6f46 , 1 ,15 ,090c , 1 ,15 ,a4f0 , 1 ,15 ,5c64 , 1 ,15 ,4f14 , 1 ,15 ,bbac , 1 ,15 ,97e2 , 1 ,15 ,9047 , 2 ,14 
b4d5 , 2 ,14 ,4e82 , 2 ,14 ,1b6a , 1 ,15 ,8444 , 1 ,15 ,bff6 , 1 ,15 ,2d80 , 1 ,15 ,3d72 , 1 ,15 ,5601 , 2 ,14 
d992 , 2 ,14 ,e862 , 1 ,15 ,70e6 , 1 ,15 ,28f2 , 1 ,15 ,99a0 , 1 ,15 ,1d16 , 1 ,15 ,9e28 , 1 ,15 ,7a88 , 1 ,15 
20fe , 1 ,15 ,1e9a , 1 ,15 ,226a , 1 ,15 ,936d , 2 ,14 ,e796 , 1 ,15 ,a30a , 2 ,14 ,450e , 1 ,15 ,546e , 1 ,15 
588c , 1 ,15 ,454d , 2 ,14 ,54a2 , 1 ,15 ,8cb4 , 2 ,14 ,ea1e , 1 ,15 ,afca , 2 ,14 ,5503 , 2 ,14 ,07c8 , 1 ,15 
2fcc , 1 ,15 ,c95e , 1 ,15 ,779c , 1 ,15 ,d964 , 1 ,15 ,e3e0 , 1 ,15 ,be48 , 1 ,15 ,9d27 , 2 ,14 ,d8fe , 1 ,15 
b768 , 3 ,13 ,fcbe , 1 ,15 ,7e8d , 2 ,14 ,c62e , 1 ,15 ,a3c4 , 1 ,15 ,9610 , 1 ,15 ,817c , 1 ,15 ,96a6 , 2 ,14 
8008 , 2 ,14 ,98cb , 2 ,14 ,b54c , 1 ,15 ,67b2 , 1 ,15 ,8f30 , 1 ,15 ,025e , 1 ,15 ,bea0 , 1 ,15 ,9111 , 2 ,14 
94d6 , 2 ,14 ,413c , 1 ,15 ,4ea7 , 2 ,14 ,2a3e , 1 ,15 ,212c , 1 ,15 ,dc36 , 1 ,15 ,2dbe , 1 ,15 ,7521 , 2 ,14 
6e3a , 1 ,15 ,7c94 , 2 ,14 ,4832 , 2 ,14 ,331c , 2 ,14 ,962b , 2 ,14 ,b7e9 , 3 ,13 ,4342 , 1 ,15 ,b1c5 , 3 ,13 
bb98 , 2 ,14 ,446e , 1 ,15 ,bb52 , 1 ,15 ,2a32 , 1 ,15 ,25bc , 1 ,15 ,e4c8 , 1 ,15 ,751e , 2 ,14 ,7d98 , 1 ,15 
8622 , 1 ,15 ,0618 , 1 ,15 ,56d4 , 2 ,14 ,648a , 1 ,15 ,9748 , 1 ,15 ,9014 , 1 ,15 ,28b2 , 1 ,15 ,4a1c , 3 ,13 
793c , 1 ,15 ,d9be , 1 ,15 ,c71e , 1 ,15 ,4832 , 1 ,15 ,3baa , 1 ,15 ,2e76 , 1 ,15 ,3938 , 1 ,15 ,3fae , 1 ,15 
675c , 1 ,15 ,33bc , 1 ,15 ,77b0 , 1 ,15 ,8c1a , 1 ,15 ,5341 , 2 ,14 ,42d8 , 2 ,14 ,3c76 , 1 ,15 ,cb1a , 1 ,15 
228c , 1 ,15 ,4bf6 , 1 ,15 ,abe6 , 1 ,15 ,4dee , 1 ,15 ,f656 , 1 ,15 ,5310 , 1 ,15 ,5213 , 2 ,14 ,c54a , 1 ,15 
06c8 , 1 ,15 ,783a , 1 ,15 ,6d78 , 1 ,15 ,cf6a , 1 ,15 ,4f3a , 2 ,14 ,6b10 , 1 ,15 ,f964 , 1 ,15 ,0fdc , 1 ,15 
b54f , 2 ,14 ,15c4 , 1 ,15 ,8532 , 2 ,14 ,d0e0 , 1 ,15 ,a3f3 , 2 ,14 ,af3e , 2 ,14 ,cdae , 1 ,15 ,f05a , 1 ,15 
a937 , 2 ,14 ,a632 , 1 ,15 ,edd2 , 1 ,15 ,83e6 , 1 ,15 ,1550 , 1 ,15 ,2452 , 1 ,15 ,2fd6 , 1 ,15 ,1d26 , 1 ,15 
5434 , 2 ,14 ,7174 , 1 ,15 ,b252 , 1 ,15 ,baec , 2 ,14 ,0d78 , 1 ,15 ,e1ae , 1 ,15 ,9a28 , 1 ,15 ,d360 , 1 ,15 
1c64 , 1 ,15 ,4a5d , 2 ,14 ,bf63 , 2 ,14 ,92e0 , 1 ,15 ,cf46 , 1 ,15 ,f83c , 1 ,15 ,403e , 1 ,15 ,a222 , 2 ,14 
b940 , 1 ,15 ,ba58 , 1 ,15 ,c208 , 1 ,15 ,d370 , 1 ,15 ,899c , 1 ,15 ,1292 , 1 ,15 ,196e , 1 ,15 ,c730 , 1 ,15 
5d5a , 2 ,14 ,971a , 1 ,15 ,7ed8 , 1 ,15 ,dafa , 1 ,15 ,8e9e , 1 ,15 ,fce2 , 1 ,15 ,0252 , 1 ,15 ,41d5 , 3 ,13 
d162 , 1 ,15 ,d23a , 1 ,15 ,3c1c , 1 ,15 ,36ec , 1 ,15 ,f0f8 , 1 ,15 ,665e , 2 ,14 ,9737 , 2 ,14 ,e82e , 1 ,15 
cca0 , 1 ,15 ,4f05 , 2 ,14 ,2df4 , 1 ,15 ,b684 , 2 ,14 ,de60 , 1 ,15 ,4e5d , 2 ,14 ,5b40 , 1 ,15 ,fc8a , 1 ,15 
4264 , 1 ,15 ,60fc , 1 ,15 ,6b71 , 2 ,14 ,db94 , 1 ,15 ,8528 , 1 ,15 ,fe9e , 1 ,15 ,3eb0 , 1 ,15 ,2de8 , 1 ,15 
4870 , 1 ,15 ,e4c4 , 1 ,15 ,9e94 , 2 ,14 ,bbe7 , 2 ,14 ,7958 , 1 ,15 ,7f7a , 1 ,15 ,9406 , 1 ,15 ,e312 , 1 ,15 
3162 , 1 ,15 ,5fae , 2 ,14 ,453c , 1 ,15 ,7216 , 2 ,14 ,ba84 , 1 ,15 ,226c , 1 ,15 ,75e1 , 2 ,14 ,9156 , 1 ,15 
b65b , 2 ,14 ,3e4e , 1 ,15 ,6e60 , 1 ,15 ,9cf8 , 1 ,15 ,d5be , 1 ,15 ,5dce , 1 ,15 ,b061 , 2 ,14 ,7409 , 2 ,14 
817e , 2 ,14 ,a64a , 1 ,15 ,6502 , 2 ,14 ,bf5d , 2 ,14 ,7bcc , 1 ,15 ,6eb8 , 1 ,15 ,0d92 , 1 ,15 ,cb0a , 1 ,15 
da64 , 1 ,15 ,1f0a , 1 ,15 ,1c84 , 1 ,15 ,4a97 , 2 ,14 ,2394 , 1 ,15 ,996e , 1 ,15 ,d9ee , 1 ,15 ,b7d1 , 2 ,14 
9ba8 , 2 ,14 ,b7f0 , 1 ,15 ,b339 , 2 ,14 ,487b , 3 ,13 ,c7b0 , 1 ,15 ,20a4 , 1 ,15 ,be5e , 1 ,15 ,7e88 , 1 ,15 
94f0 , 1 ,15 ,67f0 , 1 ,15 ,b3c6 , 1 ,15 ,4ace , 1 ,15 ,5740 , 1 ,15 ,1870 , 1 ,15 ,8446 , 1 ,15 ,2f5a , 1 ,15 
1c60 , 1 ,15 ,364e , 1 ,15 ,81b9 , 2 ,14 ,02c4 , 1 ,15 ,6692 , 1 ,15 ,6b52 , 1 ,15 ,496d , 2 ,14 ,1686 , 1 ,15 
8a4e , 1 ,15 ,10f0 , 1 ,15 ,cd4a , 1 ,15 ,2a94 , 1 ,15 ,9ed6 , 1 ,15 ,e4fe , 1 ,15 ,ba22 , 1 ,15 ,fa70 , 1 ,15 
6794 , 1 ,15 ,1f34 , 1 ,15 ,58f8 , 1 ,15 ,4278 , 3 ,13 ,9fc1 , 2 ,14 ,e6be , 1 ,15 ,08ba , 1 ,15 ,0362 , 1 ,15 
8d67 , 2 ,14 ,b566 , 2 ,14 ,6b8c , 1 ,15 ,4df8 , 1 ,15 ,7c82 , 1 ,15 ,f03a , 1 ,15 ,44cb , 3 ,13 ,edb2 , 1 ,15 
405e , 1 ,15 ,a96e , 1 ,15 ,ffc2 , 1 ,15 ,bcb9 , 2 ,14 ,2770 , 1 ,15 ,1ac8 , 1 ,15 ,dd18 , 1 ,15 ,df58 , 1 ,15 
15c2 , 1 ,15 ,8333 , 2 ,14 ,6644 , 2 ,14 ,c36e , 1 ,15 ,a0c7 , 2 ,14 ,5b25 , 2 ,14 ,fb7c , 1 ,15 ,56fc , 1 ,15 
a32f , 2 ,14 ,5e34 , 2 ,14 ,5ab4 , 2 ,14 ,12dc , 1 ,15 ,b5f0 , 2 ,14 ,6c96 , 1 ,15 ,bfee , 1 ,15 ,0e70 , 1 ,15 
da68 , 1 ,15 ,0e2e , 1 ,15 ,4fb1 , 2 ,14 ,ebec , 1 ,15 ,5e0e , 2 ,14 ,a993 , 2 ,14 ,d6da , 1 ,15 ,9200 , 1 ,15 
1c76 , 1 ,15 ,7318 , 1 ,15 ,04e2 , 1 ,15 ,e01a , 1 ,15 ,f59e , 1 ,15 ,f93c , 1 ,15 ,5710 , 1 ,15 ,b00a , 1 ,15 
b844 , 2 ,14 ,8210 , 1 ,15 ,a473 , 2 ,14 ,b4f8 , 1 ,15 ,f290 , 1 ,15 ,80da , 1 ,15 ,4e14 , 1 ,15 ,9268 , 1 ,15 
c578 , 1 ,15 ,c548 , 1 ,15 ,bdd8 , 1 ,15 ,5208 , 1 ,15 ,3794 , 1 ,15 ,9780 , 1 ,15 ,2c08 , 1 ,15 ,032e , 1 ,15 
488c , 1 ,15 ,620e , 1 ,15 ,a8d8 , 2 ,14 ,dd0e , 1 ,15 ,268a , 1 ,15 ,b0e0 , 1 ,15 ,bd74 , 1 ,15 ,1cf4 , 1 ,15 
5b06 , 1 ,15 ,746a , 1 ,15 ,45b7 , 3 ,13 ,e064 , 1 ,15 ,1324 , 1 ,15 ,8fd2 , 1 ,15 ,a330 , 1 ,15 ,e3f2 , 1 ,15 
d26c , 1 ,15 ,2338 , 1 ,15 ,b48e , 1 ,15 ,f188 , 1 ,15 ,5a62 , 1 ,15 ,47ae , 1 ,15 ,d34a , 2 ,14 ,b3aa , 2 ,14 
b439 , 2 ,14 ,0a2e , 1 ,15 ,58de , 1 ,15 ,b87d , 2 ,14 ,cd32 , 1 ,15 ,4c9a , 2 ,14 ,676e , 1 ,15 ,47b1 , 2 ,14 
2eda , 1 ,15 ,80f8 , 1 ,15 ,384e , 1 ,15 ,5fda , 1 ,15 ,9be0 , 2 ,14 ,aba6 , 2 ,14 ,b76e , 1 ,15 ,711a , 1 ,15 
aeb9 , 2 ,14 ,0898 , 1 ,15 ,4864 , 1 ,15 ,1256 , 1 ,15 ,55be , 2 ,14 ,96f2 , 1 ,15 ,559d , 2 ,14 ,1bac , 1 ,15 
4b64 , 2 ,14 ,55cc , 2 ,14 ,5070 , 1 ,15 ,4146 , 3 ,13 ,bf90 , 1 ,15 ,a02c , 1 ,15 ,9cc6 , 1 ,15 ,56de , 1 ,15 
b7f0 , 3 ,13 ,9bfa , 1 ,15 ,86b8 , 2 ,14 ,6d44 , 1 ,15 ,1dc2 , 1 ,15 ,0f7c , 1 ,15 ,c832 , 1 ,15 ,0aaa , 1 ,15 
1e8a , 1 ,15 ,e6a8 , 1 ,15 ,67e8 , 1 ,15 ,482e , 3 ,13 ,40eb , 2 ,14 ,8412 , 1 ,15 ,2f9a , 1 ,15 ,6684 , 2 ,14 
42ee , 1 ,15 ,3f5a , 1 ,15 ,ea30 , 1 ,15 ,b833 , 2 ,14 ,c23c , 1 ,15 ,2fea , 1 ,15 ,a8c0 , 1 ,15 ,ba82 , 1 ,15 
18c0 , 1 ,15 ,0672 , 1 ,15 ,8130 , 1 ,15 ,26ca , 1 ,15 ,59b6 , 1 ,15 ,497c , 1 ,15 ,de0e , 1 ,15 ,f7f0 , 1 ,15 
c4ca , 1 ,15 ,2080 , 1 ,15 ,7384 , 1 ,15 ,496c , 1 ,15 ,e0fe , 1 ,15 ,c678 , 1 ,15 ,7e0c , 2 ,14 ,55c8 , 1 ,15 
b116 , 2 ,14 ,1c4c , 1 ,15 ,4036 , 1 ,15 ,4b96 , 1 ,15 ,45e6 , 1 ,15 ,5204 , 1 ,15 ,b43f , 2 ,14 ,ddee , 1 ,15 
9282 , 1 ,15 ,53c4 , 2 ,14 ,091e , 1 ,15 ,9030 , 2 ,14 ,fd40 , 1 ,15 ,bc5c , 3 ,13 ,585a , 1 ,15 ,26b0 , 1 ,15 
a164 , 2 ,14 ,d16e , 1 ,15 ,4235 , 2 ,14 ,567f , 3 ,13 ,caae , 1 ,15 ,bf32 , 1 ,15 ,087e , 1 ,15 ,8c8c , 2 ,14 
68ff , 2 ,14 ,3c34 , 1 ,15 ,eabe , 1 ,15 ,a29e , 1 ,15 ,4b6a , 2 ,14 ,4ffc , 1 ,15 ,5216 , 2 ,14 ,3046 , 1 ,15 
2ec4 , 1 ,15 ,5074 , 1 ,15 ,5964 , 1 ,15 ,643c , 1 ,15 ,66ae , 1 ,15 ,516e , 1 ,15 ,dcb6 , 1 ,15 ,2586 , 1 ,15 
84f4 , 1 ,15 ,d58a , 1 ,15 ,e1fa , 1 ,15 ,0bcc , 1 ,15 ,e900 , 1 ,15 ,2822 , 1 ,15 ,62b6 , 1 ,15 ,955e , 1 ,15 
c50c , 1 ,15 ,a81b , 2 ,14 ,446e , 3 ,13 ,6412 , 1 ,15 ,bb83 , 2 ,14 ,bf17 , 2 ,14 ,e8d8 , 1 ,15 ,5067 , 2 ,14 
163a , 1 ,15 ,5098 , 2 ,14 ,425b , 2 ,14 ,4b77 , 2 ,14 ,85f6 , 1 ,15 ,f466 , 1 ,15 ,3b5a , 1 ,15 ,c05e , 1 ,15 
4088 , 2 ,14 ,b160 , 2 ,14 ,1fd8 , 1 ,15 ,b4b8 , 1 ,15 ,ea3a , 1 ,15 ,12dc , 1 ,15 ,3d0e , 1 ,15 ,b741 , 2 ,14 
a866 , 1 ,15 ,daa2 , 1 ,15 ,5134 , 1 ,15 ,99b9 , 2 ,14 ,ebca , 1 ,15 ,d708 , 1 ,15 ,319e , 1 ,15 ,b47c , 2 ,14 
4b1b , 2 ,14 ,83d2 , 1 ,15 ,bcda , 2 ,14 ,16d0 , 1 ,15 ,15fc , 1 ,15 ,3f46 , 1 ,15 ,e9bc , 1 ,15 ,d162 , 1 ,15 
049a , 1 ,15 ,5b85 , 2 ,14 ,b14a , 1 ,15 ,6018 , 2 ,14 ,b332 , 2 ,14 ,fbf6 , 1 ,15 ,7d52 , 1 ,15 ,e158 , 1 ,15 
7d5a , 1 ,15 ,a2cb , 2 ,14 ,ab44 , 1 ,15 ,2d06 , 1 ,15 ,56ce , 1 ,15 ,3c34 , 1 ,15 ,410e , 2 ,14 ,41d4 , 1 ,15 
bbe2 , 1 ,15 ,43ac , 1 ,15 ,6963 , 2 ,14 ,058e , 1 ,15 ,57a6 , 1 ,15 ,0f76 , 1 ,15 ,d764 , 1 ,15 ,526c , 1 ,15 
41d4 , 1 ,15 ,6202 , 1 ,15 ,a046 , 1 ,15 ,9706 , 1 ,15 ,25b2 , 1 ,15 ,8ee4 , 1 ,15 ,7308 , 1 ,15 ,872e , 1 ,15 
16e8 , 1 ,15 ,5544 , 1 ,15 ,6439 , 2 ,14 ,4475 , 2 ,14 ,4d14 , 1 ,15 ,de70 , 1 ,15 ,8512 , 1 ,15 ,935f , 2 ,14 
23c6 , 1 ,15 ,3268 , 1 ,15 ,c392 , 1 ,15 ,c0a2 , 1 ,15 ,424b , 2 ,14 ,aba8 , 1 ,15 ,464c , 1 ,15 ,14c4 , 1 ,15 
1548 , 1 ,15 ,22f6 , 1 ,15 ,4d74 , 1 ,15 ,3f44 , 1 ,15 ,48c1 , 2 ,14 ,8584 , 1 ,15 ,8a2c , 2 ,14 ,ec42 , 1 ,15 
d130 , 1 ,15 ,bb5e , 1 ,15 ,27a0 , 1 ,15 ,8545 , 2 ,14 ,a3c0 , 1 ,15 ,e626 , 1 ,15 ,48fb , 2 ,14 ,6339 , 2 ,14 
6b36 , 1 ,15 ,e920 , 1 ,15 ,1e1e , 1 ,15 ,3290 , 1 ,15 ,6286 , 1 ,15 ,c98a , 1 ,15 ,7753 , 2 ,14 ,23d4 , 1 ,15 
d9a6 , 1 ,15 ,2b60 , 1 ,15 ,9918 , 1 ,15 ,4818 , 1 ,15 ,1db4 , 1 ,15 ,4b87 , 2 ,14 ,43dd , 2 ,14 ,b2e5 , 2 ,14 
4ba2 , 2 ,14 ,5408 , 2 ,14 ,cb7c , 1 ,15 ,bb56 , 2 ,14 ,663b , 2 ,14 ,ad45 , 2 ,14 ,515e , 1 ,15 ,8c15 , 2 ,14 
da94 , 1 ,15 ,5a89 , 2 ,14 ,291a , 1 ,15 ,5945 , 2 ,14 ,4c8c , 2 ,14 ,282a , 1 ,15 ,5ede , 1 ,15 ,ee14 , 1 ,15 
a95d , 2 ,14 ,45d6 , 1 ,15 ,1390 , 1 ,15 ,1e70 , 1 ,15 ,1a08 , 1 ,15 ,c98e , 1 ,15 ,9f0a , 1 ,15 ,4706 , 1 ,15 
4a8a , 2 ,14 ,4661 , 3 ,13 ,d302 , 1 ,15 ,909c , 1 ,15 ,1836 , 1 ,15 ,9e5c , 2 ,14 ,d7e2 , 1 ,15 ,9374 , 1 ,15 
a1ac , 1 ,15 ,5eba , 1 ,15 ,346c , 1 ,15 ,6574 , 1 ,15 ,ae4e , 1 ,15 ,b439 , 2 ,14 ,350c , 1 ,15 ,40a0 , 1 ,15 
baad , 2 ,14 ,1bbe , 1 ,15 ,78c6 , 1 ,15 ,0d72 , 1 ,15 ,1020 , 1 ,15 ,c290 , 1 ,15 ,614d , 2 ,14 ,7cfe , 1 ,15 
9f1b , 2 ,14 ,db10 , 1 ,15 ,dcaa , 1 ,15 ,3830 , 1 ,15 ,3d44 , 1 ,15 ,bf62 , 2 ,14 ,4722 , 1 ,15 ,5de5 , 2 ,14 
1f56 , 1 ,15 ,b3a0 , 1 ,15 ,b1f9 , 2 ,14 ,1e06 , 1 ,15 ,7f06 , 1 ,15 ,707c , 1 ,15 ,b5a6 , 1 ,15 ,bc6a , 1 ,15 
d698 , 1 ,15 ,a1f2 , 1 ,15 ,aec8 , 1 ,15 ,b884 , 1 ,15 ,233e , 1 ,15 ,0af0 , 1 ,15 ,6699 , 2 ,14 ,e074 , 1 ,15 
16b8 , 1 ,15 ,e1ec , 1 ,15 ,d12a , 1 ,15 ,46fa , 1 ,15 ,c71c , 1 ,15 ,97f7 , 3 ,13 ,3b7a , 1 ,15 ,1b7e , 1 ,15 
bc12 , 1 ,15 ,33b8 , 1 ,15 ,08e4 , 1 ,15 ,c1c6 , 1 ,15 ,108a , 1 ,15 ,3350 , 1 ,15 ,2ae2 , 1 ,15 ,ea38 , 1 ,15 
5f4b , 2 ,14 ,b8ae , 1 ,15 ,4277 , 2 ,14 ,6840 , 1 ,15 ,d784 , 1 ,15 ,8c5c , 1 ,15 ,218e , 1 ,15 ,b10d , 2 ,14 
f848 , 1 ,15 ,65c2 , 1 ,15 ,680e , 2 ,14 ,68a0 , 1 ,15 ,e684 , 1 ,15 ,914c , 1 ,15 ,ac78 , 1 ,15 ,ea86 , 1 ,15 
40e2 , 1 ,15 ,581e , 1 ,15 ,746c , 2 ,14 ,1600 , 1 ,15 ,9f70 , 1 ,15 ,1ac0 , 1 ,15 ,b0c4 , 1 ,15 ,0e46 , 1 ,15 
b5fd , 2 ,14 ,ad06 , 1 ,15 ,740c , 2 ,14 ,4ccc , 1 ,15 ,e9e4 , 1 ,15 ,f270 , 1 ,15 ,5cb0 , 1 ,15 ,adee , 1 ,15 
489e , 1 ,15 ,9316 , 1 ,15 ,2b76 , 1 ,15 ,42b3 , 2 ,14 ,c092 , 1 ,15 ,01ea , 1 ,15 ,1c88 , 1 ,15 ,5bee , 1 ,15 
6d3a , 1 ,15 ,aa40 , 1 ,15 ,140a , 1 ,15 ,9fe2 , 1 ,15 ,6cac , 1 ,15 ,a9fd , 2 ,14 ,badd , 2 ,14 ,b661 , 2 ,14 
4d67 , 2 ,14 ,7f86 , 1 ,15 ,e58c , 1 ,15 ,a2fe , 1 ,15 ,2760 , 1 ,15 ,d1b4 , 1 ,15 ,4664 , 2 ,14 ,9124 , 1 ,15 
0c2e , 1 ,15 ,4d0f , 3 ,13 ,d53a , 1 ,15 ,b4b5 , 2 ,14 ,46be , 1 ,15 ,ad86 , 3 ,13 ,4f96 , 1 ,15 ,a268 , 2 ,14 
585a , 2 ,14 ,5053 , 2 ,14 ,5170 , 1 ,15 ,4514 , 2 ,14 ,60ac , 1 ,15 ,4b03 , 2 ,14 ,8176 , 1 ,15 ,4d3c , 2 ,14 
e6de , 1 ,15 ,bf96 , 2 ,14 ,c838 , 1 ,15 ,8cbc , 1 ,15 ,9c92 , 1 ,15 ,f4ac , 1 ,15 ,22ba , 1 ,15 ,115e , 1 ,15 
b068 , 1 ,15 ,a340 , 1 ,15 ,d480 , 1 ,15 ,a612 , 1 ,15 ,caec , 1 ,15 ,1f9a , 1 ,15 ,4a6c , 1 ,15 ,2c5c , 1 ,15 
4694 , 2 ,14 ,37f4 , 1 ,15 ,45fe , 1 ,15 ,e068 , 1 ,15 ,588f , 2 ,14 ,716b , 2 ,14 ,48e2 , 2 ,14 ,4232 , 2 ,14 
210a , 1 ,15 ,af7e , 2 ,14 ,23fc , 1 ,15 ,aa44 , 2 ,14 ,2b82 , 1 ,15 ,1a5a , 1 ,15 ,8f60 , 2 ,14 ,44c4 , 1 ,15 
f44c , 1 ,15 ,452a , 1 ,15 ,f9c6 , 1 ,15 ,b3ec , 2 ,14 ,d7dc , 1 ,15 ,bfd0 , 2 ,14 ,ed66 , 1 ,15 ,065e , 1 ,15 
01ec , 1 ,15 ,496a , 1 ,15 ,0522 , 1 ,15 ,ad8e , 1 ,15 ,3d0e , 1 ,15 ,b584 , 1 ,15 ,f5d2 , 1 ,15 ,a472 , 2 ,14 
